wave_length         LAB                 PPO                 bis                 
266.5               0.0019701           0.997981            4.93001e-05         
267                 0.00194286          0.998009            4.82063e-05         
267.5               0.00188162          0.998071            4.70443e-05         
268                 0.00185633          0.998106            3.73051e-05         
268.5               0.00179618          0.998176            2.75528e-05         
269                 0.00174218          0.998236            2.16113e-05         
269.5               0.00170023          0.998282            1.7657e-05          
270                 0.00166305          0.998312            2.47873e-05         
270.5               0.00161968          0.998337            4.32217e-05         
271                 0.00155541          0.998377            6.79089e-05         
271.5               0.00152778          0.998394            7.81673e-05         
272                 0.00147964          0.998427            9.28914e-05         
272.5               0.00144417          0.99845             0.000105967         
273                 0.00140504          0.99848             0.000115309         
273.5               0.00135854          0.998514            0.000127649         
274                 0.00132259          0.998534            0.000142928         
274.5               0.00127913          0.998559            0.000161872         
275                 0.0012494           0.998565            0.000185126         
275.5               0.00122306          0.99858             0.000197312         
276                 0.00118562          0.998603            0.000211168         
276.5               0.00114846          0.998625            0.000226341         
277                 0.00111973          0.99864             0.000240722         
277.5               0.00109506          0.998646            0.000258795         
278                 0.0010553           0.998668            0.000277001         
278.5               0.00102795          0.998677            0.000294647         
279                 0.00101243          0.998672            0.000315237         
279.5               0.000982566         0.998682            0.000335596         
280                 0.000960819         0.998691            0.000347818         
280.5               0.000940645         0.998699            0.000360733         
281                 0.000916293         0.998711            0.000372775         
281.5               0.000895517         0.998718            0.000386085         
282                 0.000878122         0.99872             0.000402194         
282.5               0.000853271         0.998731            0.00041592          
283                 0.000832961         0.998743            0.000424359         
283.5               0.000816254         0.99875             0.000434209         
284                 0.000798535         0.998757            0.00044472          
284.5               0.000787384         0.998759            0.000453467         
285                 0.000772056         0.998767            0.000460961         
285.5               0.000758503         0.998772            0.000469565         
286                 0.00074658          0.998773            0.000480701         
286.5               0.000728827         0.998781            0.000489935         
287                 0.000720606         0.998779            0.000499918         
287.5               0.000705776         0.998781            0.000513123         
288                 0.000695768         0.998784            0.000519738         
288.5               0.000683819         0.99879             0.000526602         
289                 0.000674093         0.99879             0.000535611         
289.5               0.000663899         0.998791            0.000545234         
290                 0.000652416         0.998792            0.000555219         
290.5               0.000642343         0.998792            0.000565337         
291                 0.000632554         0.998795            0.000572471         
291.5               0.000625302         0.998793            0.00058202          
292                 0.000617092         0.99879             0.000592728         
292.5               0.000605862         0.998792            0.000602081         
293                 0.000599272         0.998794            0.000606755         
293.5               0.000590874         0.998797            0.000611833         
294                 0.000583796         0.99879             0.00062615          
294.5               0.000579796         0.998779            0.000641469         
295                 0.00057197          0.998777            0.00065065          
295.5               0.000565008         0.998774            0.000660659         
296                 0.000559374         0.998767            0.000673898         
296.5               0.000556211         0.998754            0.000689621         
297                 0.000550208         0.99875             0.000699619         
297.5               0.000542232         0.998748            0.000709289         
298                 0.000535405         0.998745            0.000719668         
298.5               0.000529926         0.998739            0.000731151         
299                 0.000525914         0.99873             0.000744157         
299.5               0.000520667         0.998721            0.000758049         
300                 0.000513161         0.998716            0.000771172         
300.5               0.000506785         0.998708            0.000785315         
301                 0.000502405         0.998701            0.000796195         
301.5               0.000496952         0.998694            0.000809111         
302                 0.000494874         0.998679            0.000825674         
302.5               0.000490115         0.998665            0.000844761         
303                 0.000487354         0.99865             0.000862938         
303.5               0.000486168         0.998634            0.000879821         
304                 0.000482246         0.998621            0.000896358         
304.5               0.000481681         0.998597            0.000921406         
305                 0.000482062         0.99857             0.000947854         
305.5               0.000482462         0.998543            0.000974544         
306                 0.000484215         0.998515            0.00100087          
306.5               0.000483065         0.998492            0.00102516          
307                 0.000482399         0.998461            0.00105695          
307.5               0.000486153         0.998426            0.00108833          
308                 0.000486647         0.998396            0.00111741          
308.5               0.000484638         0.998368            0.00114733          
309                 0.000486803         0.998339            0.00117418          
309.5               0.000489582         0.998307            0.00120319          
310                 0.000488928         0.998277            0.00123358          
310.5               0.000487897         0.998247            0.00126476          
311                 0.000486972         0.998221            0.00129162          
311.5               0.000485265         0.998196            0.00131833          
312                 0.000482644         0.998173            0.00134463          
312.5               0.000479901         0.998145            0.00137552          
313                 0.000479626         0.998113            0.00140754          
313.5               0.000478691         0.998077            0.00144438          
314                 0.000477033         0.998038            0.00148478          
314.5               0.000477748         0.998003            0.00151896          
315                 0.000480819         0.997958            0.00156079          
315.5               0.00048199          0.997914            0.00160413          
316                 0.000484151         0.997862            0.00165374          
316.5               0.000488357         0.9978              0.00171186          
317                 0.000492649         0.997738            0.00176961          
317.5               0.000498343         0.99766             0.00184172          
318                 0.000505281         0.997577            0.001918            
318.5               0.000514521         0.997463            0.00202269          
319                 0.000520546         0.997372            0.00210735          
319.5               0.000527678         0.997287            0.00218503          
320                 0.000537023         0.997189            0.00227433          
320.5               0.000542825         0.997098            0.00235928          
321                 0.000546467         0.997005            0.00244862          
321.5               0.000559092         0.996869            0.00257231          
322                 0.000567443         0.996749            0.00268349          
322.5               0.000573518         0.99663             0.0027963           
323                 0.000579853         0.9965              0.00291996          
323.5               0.000588691         0.996363            0.00304859          
324                 0.000593968         0.996245            0.00316055          
324.5               0.000598352         0.996123            0.00327828          
325                 0.000599339         0.995978            0.0034223           
325.5               0.000594637         0.995833            0.00357232          
326                 0.000584032         0.995667            0.00374878          
326.5               0.000557807         0.995522            0.00392027          
327                 0.000511627         0.995421            0.00406734          
327.5               0.000461824         0.995285            0.00425335          
328                 0.000407845         0.995136            0.00445616          
328.5               0.000355014         0.994974            0.004671            
329                 0.000308822         0.994754            0.00493681          
329.5               0.000263193         0.994608            0.00512846          
330                 0.000197221         0.995099            0.00470366          
330.5               0.000167076         0.994961            0.00487146          
331                 0.000141104         0.994813            0.00504575          
331.5               0.000118919         0.994669            0.00521221          
332                 0.000100233         0.994524            0.00537606          
